top - 09:54:55 up 44 days, 27 min,  1 user,  load average: 1.24, 1.02, 0.88
Tasks: 382 total,   1 running, 304 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13.4 us,  5.7 sy,  0.1 ni, 79.6 id,  0.0 wa,  0.0 hi,  1.2 si,  0.0 st
KiB Mem : 16251892 total,   556224 free,  6461480 used,  9234188 buff/cache
KiB Swap:  2097148 total,  1555884 free,   541264 used.  8962312 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  260 root      20   0       0      0      0 S   0.0  0.0  15:46.45 [jbd2/sda5-8]
  261 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [ext4-rsv-conver]
  263 root       0 -20       0      0      0 I   0.0  0.0   0:08.68 [kworker/3:1H-ev]
  275 root       0 -20       0      0      0 I   0.0  0.0   0:10.08 [kworker/2:1H-ev]
  280 root       0 -20       0      0      0 I   0.0  0.0   0:14.03 [kworker/1:1H-ev]
  294 root       0 -20       0      0      0 I   0.0  0.0   0:23.52 [kworker/7:1H-ev]
  311 root      19  -1  473888 212788 210336 S   0.0  1.3   1:02.22 /lib/systemd/systemd-journald
  337 root      20   0   48000   3912   2204 S   0.0  0.0   0:48.22 /lib/systemd/systemd-udevd
  348 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop1]
  350 root       0 -20       0      0      0 S   0.0  0.0   0:00.02 [loop2]
  355 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 [loop3]
  357 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop5]
  358 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 [loop6]
  377 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop9]
  380 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop10]
  387 root       0 -20       0      0      0 S   0.0  0.0   0:00.03 [loop11]
  412 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop12]
  417 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop13]
  418 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 [irq/67-smo8800]
  421 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 [loop14]
  426 root       0 -20       0      0      0 S   0.0  0.0   0:00.12 [loop15]
  454 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [cfg80211]
  463 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kmemstick]
  488 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 [loop18]
  498 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [ath10k_wq]
  499 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [ath10k_aux_wq]
  500 root     -51   0       0      0      0 S   0.0  0.0   2:42.10 [irq/51-DELL0817]
  503 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop19]
  504 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [cryptd]
  514 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 [kworker/u17:1-h]
  602 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop22]
  603 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop23]
  613 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 [loop25]
  619 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop26]
  627 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop27]
  666 root       0 -20       0      0      0 S   0.0  0.0   0:00.96 [loop28]
  730 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop29]
  740 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop30]
  812 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 [loop33]
  823 systemd+  20   0   72284   3200   2552 S   0.0  0.0   7:33.71 /lib/systemd/systemd-resolved
  833 systemd+  20   0  145964    516    472 S   0.0  0.0   0:04.92 /lib/systemd/systemd-timesyncd
  847 root       0 -20       0      0      0 S   0.0  0.0   0:00.07 [loop37]
  885 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 [loop34]
  917 root      20   0 2128912  21860  10496 S   0.0  0.1   5:08.33 /usr/lib/snapd/snapd
  990 root      20   0  434440   4524   3560 S   0.0  0.0   0:00.54 /usr/sbin/ModemManager --filter-policy=strict
  991 root      20   0  110492   1124    964 S   0.0  0.0   2:41.61 /usr/sbin/irqbalance --foreground
